Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,9,1,256,1,0,6,0,512,0,1,2,0,0.043683417141438,0.985199987888336
1,16,1,1,3,0,1,16,1,1,10,1,0,16,1,1,3,0,1,64,1,0,10,2,1,64,0,0,2,2,1,64,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,1.37784349918365,0.54339998960495
1,64,1,1,5,1,0,16,1,1,8,0,1,8,1,1,3,1,1,256,0,1,10,2,0,16,0,1,10,0,0,1024,0,0,4,0,1024,1,1,10,1,32,1,1,6,0,512,1,0,2,3,2.50851964950562,0.09740000218153
1,256,1,0,8,0,1,128,1,1,4,1,1,256,0,0,8,0,1,16,0,1,2,1,0,256,1,1,5,2,1,128,1,0,2,1,128,1,0,0,0,64,0,1,6,0,512,1,0,0,2,0.136365696787834,0.967000007629394
1,8,0,0,10,0,0,16,1,0,6,0,0,256,0,0,10,2,0,128,0,0,7,0,1,64,1,1,6,1,1,1024,0,1,8,1,128,0,1,1,1,512,1,0,3,1,512,0,1,0,0,1.9452166557312,0.189899995923042
1,8,0,0,9,0,0,128,1,0,9,0,0,256,0,0,6,1,0,256,0,1,4,0,0,16,0,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,1,0,8,1,1024,0,1,5,2,0.17236202955246,0.949100017547607
1,8,0,0,4,0,1,8,1,1,5,1,1,128,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,0,5,2,0.351735234260559,0.913299977779388
1,64,1,0,5,2,0,256,0,0,10,1,1,32,0,0,7,0,0,256,1,1,10,1,1,128,0,1,2,2,1,32,1,0,8,1,64,1,0,1,1,64,0,1,1,0,128,1,0,6,3,1.70746719837189,0.734000027179718
1,128,1,0,0,1,0,32,0,1,0,0,1,16,0,0,7,0,1,8,0,1,3,2,1,64,1,1,9,0,1,32,1,1,4,0,512,1,0,4,0,128,1,1,7,1,128,0,1,4,2,1.76328063011169,0.64300000667572
1,64,0,0,6,1,1,16,0,1,6,1,0,256,0,0,4,0,0,8,1,0,8,0,1,256,0,1,0,2,0,16,1,1,1,0,256,0,0,3,1,16,1,0,10,0,32,0,1,8,3,3.13534021377563,0.113499999046326
